DEPTO,Poblacion_4plus,Hablantes_Ingles,Pct_Ingles,Nombre_Depto
1,327671,0,0.0,Ahuachapán
2,526955,0,0.0,SantaAna
3,443705,0,0.0,Sonsonate
4,176791,0,0.0,Chalatenango
5,730081,0,0.0,LaLibertad
6,1501677,0,0.0,San Salvador
7,232042,0,0.0,Cuscatlán
8,301391,0,0.0,LaPaz
9,134859,0,0.0,Cabañas
10,153425,0,0.0,SanVicente
11,307933,0,0.0,Usulután
12,424298,0,0.0,SanMiguel
13,160839,0,0.0,Morazán
14,212306,0,0.0,LaUnión
15,107055,0,0.0,
