DEPTO,Nivel_Educativo,Conteo,Nombre_Depto
1,Ignorado,327671,Ahuachapán
2,Ignorado,526955,SantaAna
3,Ignorado,443705,Sonsonate
4,Ignorado,176791,Chalatenango
5,Ignorado,730081,LaLibertad
6,Ignorado,1501677,San Salvador
7,Ignorado,232042,Cuscatlán
8,Ignorado,301391,LaPaz
9,Ignorado,134859,Cabañas
10,Ignorado,153425,SanVicente
11,Ignorado,307933,Usulután
12,Ignorado,424298,SanMiguel
13,Ignorado,160839,Morazán
14,Ignorado,212306,LaUnión
15,Ignorado,107055,
